"competition_1_6_12_M5P_M-5_ES_block_crossover_ML.log","competition_1_6_12_M5P_M-5_ES_block_mutate_ML.log","competition_1_6_12_MLP_H-20_ES_block_crossover_ML.log","competition_1_6_12_MLP_H-20_ES_block_mutate_ML.log","competition_3_6_12_M5P_M-5_ES_block_crossover_ML.log","competition_3_6_12_M5P_M-5_ES_block_mutate_ML.log","competition_3_6_12_MLP_H-20_ES_block_crossover_ML.log","competition_3_6_12_MLP_H-20_ES_block_mutate_ML.log","ks1_6_12_M5P_M-5_ES_block_crossover_ML.log","ks1_6_12_M5P_M-5_ES_block_mutate_ML.log","ks1_6_12_MLP_H-20_ES_block_crossover_ML.log","ks1_6_12_MLP_H-20_ES_block_mutate_ML.log","ks2_6_12_M5P_M-5_ES_block_crossover_ML.log","ks2_6_12_M5P_M-5_ES_block_mutate_ML.log","ks2_6_12_MLP_H-20_ES_block_crossover_ML.log","ks2_6_12_MLP_H-20_ES_block_mutate_ML.log"
"9.393352628878187E-4","9.394738213872225E-4","9.402420592243744E-4","9.396162281260019E-4","0.0010442339713846367","0.0010426779992320214","0.001035747482434506","0.0010369036171470037","0.0014034415079236125","0.0014065948685408282","0.00139086257274105","0.0013926564864886223","0.0018104726546320153","0.0018115705369721705","0.0018099507170506969","0.0018045532854436904"
"9.398593681200143E-4","9.394164444531508E-4","9.399627028698252E-4","9.395655847674518E-4","0.0010426263727291332","0.0010411386948335644","0.0010370965783286674","0.0010358499660691398","0.0014068029809084844","0.001405153285723352","0.0013946094928899274","0.001388014083187396","0.001808979847666753","0.00181100512465519","0.0018126224620839896","0.0018091925116181314"
"9.391372360066893E-4","9.399638043527485E-4","9.404171912581749E-4","9.395010395593467E-4","0.0010419957912806911","0.0010399406075581206","0.0010364157033570616","0.001036787542886667","0.0014039795539344262","0.0014069775373820351","0.0013932346833784312","0.0013923700459104393","0.0018123229952988597","0.0018061949205438652","0.0018107556546499912","0.0018005595777113653"
"9.401709425774587E-4","9.396329368687364E-4","9.395781987886346E-4","9.382894322749996E-4","0.0010416641770062908","0.0010444356075452236","0.001036837273690316","0.0010371363038266302","0.0014049064524432665","0.0014015339969086873","0.0013821306985500894","0.0013906621490106955","0.0018076301100027545","0.0018124357787976766","0.0018088694263418228","0.0018111271381886758"
"9.40490162272112E-4","9.397028675087557E-4","9.359033046472478E-4","9.403188571776913E-4","0.0010429664061018056","0.0010423039405486683","0.0010374189354415177","0.0010369232949861678","0.001404582686169966","0.0014032494248907097","0.0013951143248435445","0.0013908252514133767","0.0018096552579917723","0.0018061878140172467","0.0018088667513858566","0.0018092365223417307"
"9.394774540661594E-4","9.396149078790941E-4","9.345985872076981E-4","9.39500291058287E-4","0.0010430471103510426","0.0010421816228500258","0.0010362977683126703","0.0010362790982676494","0.0014011284254113242","0.0014063860424393868","0.0013911152798350918","0.0013914346656667552","0.0018100942999857137","0.001809815463062183","0.001811985668811743","0.0018001269539333993"
"9.399035071060815E-4","9.393229931322121E-4","9.396927769117092E-4","9.385315754235671E-4","0.0010417402215756575","0.0010417480560899772","0.0010359927576054082","0.0010370225024017008","0.001407891682663656","0.0014005596908228347","0.0013922744209600288","0.0013956254088528036","0.0018104981692408156","0.0018086035665451517","0.0018072224971549665","0.0018067545226574928"
"9.389711251974037E-4","9.397377824448732E-4","9.362970656377425E-4","9.391837020258228E-4","0.0010400006868597927","0.00104094901203135","0.0010376936126535946","0.0010367295729429217","0.0014043161852672335","0.0013979309377828075","0.0013925506729611842","0.0013845123467229176","0.001812939393210138","0.0018104165450288146","0.001807146431911839","0.001805798071631962"
"9.392022957118893E-4","9.394649784529966E-4","9.400504587144666E-4","9.388865026310066E-4","0.0010422562841596035","0.0010410333118050005","0.0010366351851492843","0.001036589478275287","0.0014016765105434954","0.0014010264218193198","0.001390163342566497","0.0013827601157890093","0.0018076638042241278","0.0018125254828848642","0.0018110881753850595","0.001800520157631639"
"9.394202290197824E-4","9.397646998370941E-4","9.392192623988939E-4","9.399150048093258E-4","0.0010409762821505853","0.0010418710869812258","0.0010367795973526064","0.0010361430490451985","0.001405839936141243","0.0014035122722262142","0.0013784918559398708","0.0013935839819628777","0.0018066783147911967","0.001811177490188692","0.0018070004840078345","0.0018119952624296326"
